The list of highly confident candidate RNAs predicted by PredSynRNA using the developmental brain gene expression data from the BrainSpan.,,,,,
gene_symbol,ensembl_gene_id,description,predicted probability by SVM,predicted probability by RF,predicted probability by ANN
EFCAB2,ENSG00000203666,EF-hand calcium binding domain 2,0.649,0.599,0.713
C21orf58,ENSG00000160298,chromosome 21 open reading frame 58,0.633,0.562,0.765
TNFRSF13C,ENSG00000159958,TNF receptor superfamily member 13C,0.594,0.625,0.741
ITGA10,ENSG00000143127,integrin subunit alpha 10,0.598,0.594,0.768
ADD3,ENSG00000148700,adducin 3,0.655,0.681,0.624
SFN,ENSG00000175793,stratifin,0.704,0.518,0.738
CST7,ENSG00000077984,cystatin F,0.629,0.501,0.829
FGFR4,ENSG00000160867,fibroblast growth factor receptor 4,0.617,0.598,0.744
ITPRIPL2,ENSG00000205730,ITPRIP like 2,0.599,0.74,0.619
VWA5B1,ENSG00000158816,von Willebrand factor A domain containing 5B1,0.641,0.518,0.798
IGFBP5,ENSG00000115461,insulin like growth factor binding protein 5,0.847,0.548,0.562
BMP8A,ENSG00000183682,bone morphogenetic protein 8a,0.641,0.655,0.66
GIMAP2,ENSG00000106560,"GTPase, IMAP family member 2",0.541,0.683,0.732
MNDA,ENSG00000163563,myeloid cell nuclear differentiation antigen,0.64,0.632,0.683
TEPP,ENSG00000159648,"testis, prostate and placenta expressed",0.646,0.575,0.734
NTNG2,ENSG00000196358,netrin G2,0.648,0.608,0.699
PARP14,ENSG00000173193,poly(ADP-ribose) polymerase family member 14,0.615,0.541,0.798
CA5A,ENSG00000174990,carbonic anhydrase 5A,0.654,0.519,0.781
ITGB5,ENSG00000082781,integrin subunit beta 5,0.606,0.618,0.73
CCRL2,ENSG00000121797,C-C motif chemokine receptor like 2,0.526,0.696,0.731
LY86,ENSG00000112799,lymphocyte antigen 86,0.72,0.54,0.693
MTNR1A,ENSG00000168412,melatonin receptor 1A,0.675,0.53,0.747
SLIRP,ENSG00000119705,SRA stem-loop interacting RNA binding protein,0.622,0.631,0.699
MUC3A,ENSG00000169894,"mucin 3A, cell surface associated",0.689,0.586,0.677
IFI27L1,ENSG00000165948,interferon alpha inducible protein 27 like 1,0.676,0.513,0.762
PPP1R11,ENSG00000204619,protein phosphatase 1 regulatory inhibitor subunit 11,0.665,0.702,0.584
RASIP1,ENSG00000105538,Ras interacting protein 1,0.636,0.726,0.588
LRRC43,ENSG00000158113,leucine rich repeat containing 43,0.638,0.568,0.744
TMEM45B,ENSG00000151715,transmembrane protein 45B,0.552,0.641,0.756
CPAMD8,ENSG00000160111,C3 and PZP like alpha-2-macroglobulin domain containing 8,0.614,0.563,0.772
IL15RA,ENSG00000134470,interleukin 15 receptor subunit alpha,0.651,0.509,0.789
BCAT2,ENSG00000105552,branched chain amino acid transaminase 2,0.632,0.677,0.639
C6orf118,ENSG00000112539,chromosome 6 open reading frame 118,0.617,0.553,0.778
TSPAN1,ENSG00000117472,tetraspanin 1,0.578,0.761,0.609
PREX1,ENSG00000124126,"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1",0.652,0.642,0.652
EPHA8,ENSG00000070886,EPH receptor A8,0.72,0.532,0.694
IL17RB,ENSG00000056736,interleukin 17 receptor B,0.628,0.576,0.742
ZNF556,ENSG00000172000,zinc finger protein 556,0.61,0.687,0.648
HKDC1,ENSG00000156510,hexokinase domain containing 1,0.659,0.502,0.784
EHBP1L1,ENSG00000173442,EH domain binding protein 1 like 1,0.645,0.625,0.675
ACYP2,ENSG00000170634,acylphosphatase 2,0.662,0.613,0.67
RBX1,ENSG00000100387,ring-box 1,0.618,0.63,0.697
GRTP1,ENSG00000139835,growth hormone regulated TBC protein 1,0.578,0.615,0.751
VMO1,ENSG00000182853,vitelline membrane outer layer 1 homolog,0.713,0.545,0.686
STOX1,ENSG00000165730,storkhead box 1,0.689,0.543,0.711
RAB11FIP3,ENSG00000090565,RAB11 family interacting protein 3,0.75,0.5,0.693
SNX31,ENSG00000174226,sorting nexin 31,0.638,0.529,0.775
CBLN3,ENSG00000139899,cerebellin 3 precursor,0.675,0.666,0.6
SKA2,ENSG00000182628,spindle and kinetochore associated complex subunit 2,0.723,0.554,0.663
TRADD,ENSG00000102871,TNFRSF1A associated via death domain,0.567,0.665,0.708
GSTZ1,ENSG00000100577,glutathione S-transferase zeta 1,0.561,0.688,0.69
RAP2A,ENSG00000125249,"RAP2A, member of RAS oncogene family",0.74,0.615,0.584
EFCAB11,ENSG00000140025,EF-hand calcium binding domain 11,0.604,0.63,0.705
TM6SF2,ENSG00000213996,transmembrane 6 superfamily member 2,0.614,0.567,0.757
PITPNM3,ENSG00000091622,PITPNM family member 3,0.791,0.519,0.628
LRP4,ENSG00000134569,LDL receptor related protein 4,0.553,0.694,0.691
SAMD4A,ENSG00000020577,sterile alpha motif domain containing 4A,0.645,0.659,0.633
PPIA,ENSG00000196262,peptidylprolyl isomerase A,0.659,0.695,0.583
RALB,ENSG00000144118,RAS like proto-oncogene B,0.747,0.541,0.649
LRAT,ENSG00000121207,lecithin retinol acyltransferase,0.562,0.61,0.765
LRRC70,ENSG00000186105,leucine rich repeat containing 70,0.554,0.672,0.711
GPR143,ENSG00000101850,G protein-coupled receptor 143,0.5,0.65,0.786
TBX21,ENSG00000073861,T-box transcription factor 21,0.629,0.595,0.712
AK8,ENSG00000165695,adenylate kinase 8,0.59,0.606,0.74
EIF4EBP2,ENSG00000148730,eukaryotic translation initiation factor 4E binding protein 2,0.752,0.581,0.603
ZSCAN1,ENSG00000152467,zinc finger and SCAN domain containing 1,0.71,0.521,0.705
HLA-B,ENSG00000234745,"major histocompatibility complex, class I, B",0.597,0.684,0.654
MORN2,ENSG00000188010,MORN repeat containing 2,0.697,0.556,0.682
C16orf71,ENSG00000166246,Chromosome 16 Open Reading Frame 71 ,0.577,0.593,0.765
C1QL2,ENSG00000144119,complement C1q like 2,0.571,0.594,0.769
EXOSC5,ENSG00000077348,exosome component 5,0.631,0.662,0.641
RAB41,ENSG00000147127,"RAB41, member RAS oncogene family",0.596,0.744,0.594
GGT1,ENSG00000100031,gamma-glutamyltransferase 1,0.635,0.525,0.773
CCDC8,ENSG00000169515,coiled-coil domain containing 8,0.557,0.609,0.767
NOTUM,ENSG00000185269,"notum, palmitoleoyl-protein carboxylesterase",0.6,0.59,0.743
STAP2,ENSG00000178078,signal transducing adaptor family member 2,0.607,0.654,0.671
SIVA1,ENSG00000184990,SIVA1 apoptosis inducing factor,0.662,0.59,0.679
NEK8,ENSG00000160602,NIMA related kinase 8,0.621,0.54,0.77
LIN7B,ENSG00000104863,"lin-7 homolog B, crumbs cell polarity complex component",0.627,0.655,0.648
RAET1G,ENSG00000203722,retinoic acid early transcript 1G,0.571,0.642,0.716
CSRP1,ENSG00000159176,cysteine and glycine rich protein 1,0.689,0.616,0.624
NPAS3,ENSG00000151322,neuronal PAS domain protein 3,0.717,0.558,0.654
LHX5,ENSG00000089116,LIM homeobox 5,0.621,0.569,0.739
KCMF1,ENSG00000176407,potassium channel modulatory factor 1,0.71,0.562,0.656
TFEB,ENSG00000112561,transcription factor EB,0.553,0.715,0.659
NAALADL1,ENSG00000168060,N-acetylated alpha-linked acidic dipeptidase like 1,0.589,0.574,0.764
KLF1,ENSG00000105610,Kruppel like factor 1,0.565,0.585,0.777
CYP26C1,ENSG00000187553,cytochrome P450 family 26 subfamily C member 1,0.595,0.574,0.758
IL18,ENSG00000150782,interleukin 18,0.672,0.5,0.754
IL6R,ENSG00000160712,interleukin 6 receptor,0.524,0.748,0.654
TMEM37,ENSG00000171227,transmembrane protein 37,0.581,0.614,0.731
PEAR1,ENSG00000187800,platelet endothelial aggregation receptor 1,0.569,0.66,0.696
COL13A1,ENSG00000197467,collagen type XIII alpha 1 chain,0.645,0.671,0.609
SMOC1,ENSG00000198732,SPARC related modular calcium binding 1,0.67,0.568,0.687
CD14,ENSG00000170458,CD14 molecule,0.684,0.532,0.709
ADAM12,ENSG00000148848,ADAM metallopeptidase domain 12,0.585,0.665,0.674
TEAD4,ENSG00000197905,TEA domain transcription factor 4,0.579,0.645,0.7
RBPMS,ENSG00000157110,"RNA binding protein, mRNA processing factor",0.55,0.588,0.785
HLA-F,ENSG00000204642,"major histocompatibility complex, class I, F",0.589,0.581,0.753
LTF,ENSG00000012223,lactotransferrin,0.507,0.579,0.837
UPK1B,ENSG00000114638,uroplakin 1B,0.632,0.589,0.701
DLEC1,ENSG00000008226,DLEC1 cilia and flagella associated protein,0.607,0.562,0.753
PRAP1,ENSG00000165828,proline rich acidic protein 1,0.611,0.532,0.779
DMGDH,ENSG00000132837,dimethylglycine dehydrogenase,0.543,0.743,0.636
PRLHR,ENSG00000119973,prolactin releasing hormone receptor,0.585,0.69,0.647
UBE2L3,ENSG00000185651,ubiquitin conjugating enzyme E2 L3,0.683,0.638,0.6
TPPP3,ENSG00000159713,tubulin polymerization promoting protein family member 3,0.51,0.75,0.661
HPSE,ENSG00000173083,heparanase,0.577,0.688,0.656
BTBD19,ENSG00000222009,BTB domain containing 19,0.593,0.57,0.758
RPL21,ENSG00000122026,ribosomal protein L21,0.704,0.574,0.643
PXN,ENSG00000089159,paxillin,0.63,0.573,0.718
GDPD3,ENSG00000102886,glycerophosphodiester phosphodiesterase domain containing 3,0.661,0.584,0.675
NFIB,ENSG00000147862,nuclear factor I B,0.708,0.509,0.703
YIF1A,ENSG00000174851,"Yip1 interacting factor homolog A, membrane trafficking protein",0.621,0.572,0.726
TLR3,ENSG00000164342,toll like receptor 3,0.611,0.54,0.768
IRAK3,ENSG00000090376,interleukin 1 receptor associated kinase 3,0.603,0.574,0.742
TRAP1,ENSG00000126602,TNF receptor associated protein 1,0.668,0.628,0.622
ABHD14B,ENSG00000114779,abhydrolase domain containing 14B,0.645,0.514,0.759
EDARADD,ENSG00000186197,EDAR associated death domain,0.555,0.794,0.569
TMEM139,ENSG00000178826,transmembrane protein 139,0.561,0.679,0.678
SSC5D,ENSG00000179954,scavenger receptor cysteine rich family member with 5 domains,0.606,0.633,0.679
WFIKKN1,ENSG00000127578,"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1",0.58,0.639,0.699
CISH,ENSG00000114737,cytokine inducible SH2 containing protein,0.573,0.713,0.631
NPPC,ENSG00000163273,natriuretic peptide C,0.721,0.561,0.635
PCOLCE2,ENSG00000163710,procollagen C-endopeptidase enhancer 2,0.575,0.585,0.757
HSF1,ENSG00000185122,heat shock transcription factor 1,0.711,0.528,0.678
POLR2J2,ENSG00000228049,RNA polymerase II subunit J2,0.72,0.526,0.669
HRC,ENSG00000130528,histidine rich calcium binding protein,0.696,0.593,0.626
EN2,ENSG00000164778,engrailed homeobox 2,0.711,0.575,0.625
STEAP3,ENSG00000115107,STEAP3 metalloreductase,0.571,0.562,0.778
LTBP3,ENSG00000168056,latent transforming growth factor beta binding protein 3,0.645,0.655,0.611
C20orf27,ENSG00000101220,chromosome 20 open reading frame 27,0.611,0.653,0.647
PTPN14,ENSG00000152104,protein tyrosine phosphatase non-receptor type 14,0.571,0.64,0.7
PCNP,ENSG00000081154,PEST proteolytic signal containing nuclear protein,0.717,0.527,0.666
HLA-DPB1,ENSG00000223865,"major histocompatibility complex, class II, DP beta 1",0.657,0.554,0.699
FREM1,ENSG00000164946,FRAS1 related extracellular matrix 1,0.552,0.697,0.661
ZNF32,ENSG00000169740,zinc finger protein 32,0.594,0.639,0.677
INHBE,ENSG00000139269,inhibin subunit beta E,0.645,0.552,0.713
NFKBID,ENSG00000167604,NFKB inhibitor delta,0.564,0.615,0.73
TSPAN3,ENSG00000140391,tetraspanin 3,0.539,0.861,0.509
SERHL2,ENSG00000183569,serine hydrolase like 2,0.533,0.727,0.649
SCRG1,ENSG00000164106,stimulator of chondrogenesis 1,0.5,0.698,0.71
SULT2B1,ENSG00000088002,sulfotransferase family 2B member 1,0.547,0.545,0.816
EN1,ENSG00000163064,engrailed homeobox 1,0.624,0.522,0.761
SUSD2,ENSG00000099994,sushi domain containing 2,0.524,0.519,0.863
PPCDC,ENSG00000138621,phosphopantothenoylcysteine decarboxylase,0.551,0.635,0.72
SV2A,ENSG00000159164,synaptic vesicle glycoprotein 2A,0.687,0.634,0.584
LRRN4CL,ENSG00000177363,LRRN4 C-terminal like,0.665,0.532,0.708
TCEAL8,ENSG00000180964,transcription elongation factor A like 8,0.655,0.63,0.619
VASN,ENSG00000168140,vasorin,0.516,0.755,0.633
PODN,ENSG00000174348,podocan,0.5,0.666,0.738
APOL4,ENSG00000100336,apolipoprotein L4,0.518,0.606,0.779
ANGPTL7,ENSG00000171819,angiopoietin like 7,0.626,0.562,0.715
TMEM106A,ENSG00000184988,transmembrane protein 106A,0.609,0.535,0.758
P2RX4,ENSG00000135124,purinergic receptor P2X 4,0.49,0.755,0.657
POPDC2,ENSG00000121577,popeye domain containing 2,0.525,0.748,0.629
ACBD4,ENSG00000181513,acyl-CoA binding domain containing 4,0.617,0.59,0.695
GSTO2,ENSG00000065621,glutathione S-transferase omega 2,0.55,0.737,0.614
GMFB,ENSG00000197045,glia maturation factor beta,0.713,0.506,0.682
LONRF3,ENSG00000175556,LON peptidase N-terminal domain and ring finger 3,0.558,0.603,0.739
PMF1,ENSG00000160783,polyamine modulated factor 1,0.62,0.565,0.714
GPR151,ENSG00000173250,G protein-coupled receptor 151,0.56,0.645,0.694
HPX,ENSG00000110169,hemopexin,0.67,0.531,0.697
CHAT,ENSG00000070748,choline O-acetyltransferase,0.62,0.585,0.693
HGS,ENSG00000185359,hepatocyte growth factor-regulated tyrosine kinase substrate,0.64,0.644,0.614
APOBEC3C,ENSG00000244509,apolipoprotein B mRNA editing enzyme catalytic subunit 3C,0.545,0.589,0.764
RPS6KA4,ENSG00000162302,ribosomal protein S6 kinase A4,0.677,0.676,0.544
CHST3,ENSG00000122863,carbohydrate sulfotransferase 3,0.521,0.611,0.765
DNASE1L2,ENSG00000167968,deoxyribonuclease 1 like 2,0.557,0.643,0.697
KANK3,ENSG00000186994,KN motif and ankyrin repeat domains 3,0.615,0.673,0.608
TSPO2,ENSG00000112212,translocator protein 2,0.565,0.589,0.742
CARD6,ENSG00000132357,caspase recruitment domain family member 6,0.552,0.632,0.711
GIMAP1,ENSG00000213203,"GTPase, IMAP family member 1",0.537,0.697,0.661
STX12,ENSG00000117758,syntaxin 12,0.645,0.66,0.588
LYPD3,ENSG00000124466,LY6/PLAUR domain containing 3,0.542,0.723,0.628
WDR88,ENSG00000166359,WD repeat domain 88,0.557,0.712,0.624
TMEM129,ENSG00000168936,"transmembrane protein 129, E3 ubiquitin ligase",0.608,0.592,0.693
CENPM,ENSG00000100162,centromere protein M,0.609,0.562,0.721
SLC25A22,ENSG00000177542,solute carrier family 25 member 22,0.697,0.549,0.646
ANKLE1,ENSG00000160117,ankyrin repeat and LEM domain containing 1,0.578,0.632,0.682
FSTL3,ENSG00000070404,follistatin like 3,0.643,0.582,0.666
IQCD,ENSG00000166578,IQ motif containing D,0.593,0.59,0.708
PRDX3,ENSG00000165672,peroxiredoxin 3,0.63,0.664,0.597
EPHX3,ENSG00000105131,epoxide hydrolase 3,0.589,0.595,0.706
TP53AIP1,ENSG00000120471,tumor protein p53 regulated apoptosis inducing protein 1,0.618,0.566,0.706
CHCHD1,ENSG00000172586,coiled-coil-helix-coiled-coil-helix domain containing 1,0.657,0.557,0.676
MAPK12,ENSG00000188130,mitogen-activated protein kinase 12,0.692,0.533,0.664
COASY,ENSG00000068120,Coenzyme A synthase,0.714,0.512,0.663
SCRIB,ENSG00000180900,scribble planar cell polarity protein,0.65,0.613,0.626
MMP19,ENSG00000123342,matrix metallopeptidase 19,0.549,0.594,0.745
ACY3,ENSG00000132744,aminoacylase 3,0.672,0.606,0.609
ACCS,ENSG00000110455,1-aminocyclopropane-1-carboxylate synthase homolog (inactive),0.604,0.544,0.737
ATP13A4,ENSG00000127249,ATPase 13A4,0.643,0.556,0.686
MRPL55,ENSG00000162910,mitochondrial ribosomal protein L55,0.675,0.549,0.661
KNCN,ENSG00000162456,kinocilin,0.607,0.599,0.679
ARG2,ENSG00000081181,arginase 2,0.725,0.502,0.658
TPCN1,ENSG00000186815,two pore segment channel 1,0.582,0.607,0.696
BCL2L10,ENSG00000137875,BCL2 like 10,0.624,0.654,0.607
CDC42BPG,ENSG00000171219,CDC42 binding protein kinase gamma,0.677,0.552,0.655
HTRA3,ENSG00000170801,HtrA serine peptidase 3,0.591,0.661,0.632
IGSF6,ENSG00000140749,immunoglobulin superfamily member 6,0.536,0.684,0.663
SP100,ENSG00000067066,SP100 nuclear antigen,0.562,0.583,0.738
HES3,ENSG00000173673,hes family bHLH transcription factor 3,0.66,0.522,0.701
CDT1,ENSG00000167513,chromatin licensing and DNA replication factor 1,0.623,0.578,0.681
SMTN,ENSG00000183963,smoothelin,0.616,0.548,0.718
C11orf42,ENSG00000180878,chromosome 11 open reading frame 42,0.591,0.678,0.613
ZNF579,ENSG00000218891,zinc finger protein 579,0.615,0.686,0.58
ANKFN1,ENSG00000153930,ankyrin repeat and fibronectin type III domain containing 1,0.552,0.538,0.79
CDKN2AIPNL,ENSG00000237190,CDKN2A interacting protein N-terminal like,0.69,0.516,0.674
CAMK1,ENSG00000134072,calcium/calmodulin dependent protein kinase I,0.534,0.741,0.605
MRPL20,ENSG00000242485,mitochondrial ribosomal protein L20,0.629,0.575,0.676
ITGA5,ENSG00000161638,integrin subunit alpha 5,0.545,0.62,0.714
ARHGAP8,ENSG00000241484,Rho GTPase activating protein 8,0.642,0.667,0.57
DPT,ENSG00000143196,dermatopontin,0.597,0.562,0.72
ICAM1,ENSG00000090339,intercellular adhesion molecule 1,0.572,0.564,0.743
RETN,ENSG00000104918,resistin,0.54,0.638,0.701
DPPA4,ENSG00000121570,developmental pluripotency associated 4,0.611,0.569,0.698
CDK2,ENSG00000123374,cyclin dependent kinase 2,0.508,0.658,0.712
XYLT2,ENSG00000015532,xylosyltransferase 2,0.588,0.641,0.648
CCDC81,ENSG00000149201,coiled-coil domain containing 81,0.581,0.503,0.793
CNN1,ENSG00000130176,calponin 1,0.695,0.606,0.576
RAD21L1,ENSG00000244588,RAD21 cohesin complex component like 1,0.613,0.592,0.671
IL10RA,ENSG00000110324,interleukin 10 receptor subunit alpha,0.582,0.748,0.546
SNAP91,ENSG00000065609,synaptosome associated protein 91,0.751,0.508,0.617
EPO,ENSG00000130427,erythropoietin,0.609,0.523,0.742
ARRDC2,ENSG00000105643,arrestin domain containing 2,0.606,0.659,0.609
DPEP2,ENSG00000167261,dipeptidase 2,0.582,0.546,0.745
HMOX2,ENSG00000103415,heme oxygenase 2,0.606,0.714,0.553
DPCD,ENSG00000166171,deleted in primary ciliary dyskinesia homolog (mouse),0.682,0.547,0.643
KIAA0040,ENSG00000235750,KIAA0040,0.5,0.735,0.637
SKOR2,ENSG00000215474,SKI family transcriptional corepressor 2,0.591,0.512,0.769
UBE2V1,ENSG00000244687,ubiquitin conjugating enzyme E2 V1,0.692,0.606,0.574
PHB,ENSG00000167085,prohibitin,0.657,0.541,0.674
C4orf36,ENSG00000163633,chromosome 4 open reading frame 36,0.542,0.669,0.66
RAB3C,ENSG00000152932,"RAB3C, member RAS oncogene family",0.609,0.615,0.647
LRRC3B,ENSG00000179796,leucine rich repeat containing 3B,0.605,0.728,0.537
ADCY4,ENSG00000129467,adenylate cyclase 4,0.522,0.637,0.711
MDH1,ENSG00000014641,malate dehydrogenase 1,0.649,0.638,0.583
PUSL1,ENSG00000169972,pseudouridine synthase like 1,0.66,0.572,0.637
SLC7A11,ENSG00000151012,solute carrier family 7 member 11,0.685,0.575,0.608
TRPT1,ENSG00000149743,tRNA phosphotransferase 1,0.702,0.549,0.617
AMZ2,ENSG00000196704,archaelysin family metallopeptidase 2,0.646,0.574,0.648
CTSS,ENSG00000163131,cathepsin S,0.649,0.547,0.671
MRPL2,ENSG00000112651,mitochondrial ribosomal protein L2,0.628,0.667,0.571
TEP1,ENSG00000129566,telomerase associated protein 1,0.586,0.574,0.706
FAM180B,ENSG00000196666,family with sequence similarity 180 member B,0.516,0.6,0.75
ZNF843,ENSG00000176723,zinc finger protein 843,0.64,0.586,0.64
ZYX,ENSG00000159840,zyxin,0.643,0.61,0.612
OTOF,ENSG00000115155,otoferlin,0.637,0.571,0.657
PEX10,ENSG00000157911,peroxisomal biogenesis factor 10,0.608,0.592,0.665
UBE2D4,ENSG00000078967,ubiquitin conjugating enzyme E2 D4 (putative),0.677,0.594,0.594
ARHGEF33,ENSG00000214694,Rho guanine nucleotide exchange factor 33,0.608,0.65,0.606
GDF9,ENSG00000164404,growth differentiation factor 9,0.691,0.574,0.599
INO80E,ENSG00000169592,INO80 complex subunit E,0.606,0.565,0.693
TSPAN12,ENSG00000106025,tetraspanin 12,0.626,0.512,0.725
LCP1,ENSG00000136167,lymphocyte cytosolic protein 1,0.561,0.632,0.67
GCDH,ENSG00000105607,glutaryl-CoA dehydrogenase,0.605,0.587,0.671
ZFAND2A,ENSG00000178381,zinc finger AN1-type containing 2A,0.635,0.562,0.666
KCNJ5,ENSG00000120457,potassium inwardly rectifying channel subfamily J member 5,0.59,0.664,0.608
GBP3,ENSG00000117226,guanylate binding protein 3,0.568,0.532,0.762
C11orf68,ENSG00000175573,chromosome 11 open reading frame 68,0.624,0.642,0.595
YPEL5,ENSG00000119801,yippee like 5,0.673,0.573,0.614
PAX8,ENSG00000125618,paired box 8,0.608,0.634,0.618
AOAH,ENSG00000136250,acyloxyacyl hydrolase,0.652,0.604,0.604
CCDC74B,ENSG00000152076,coiled-coil domain containing 74B,0.528,0.669,0.663
HERPUD1,ENSG00000051108,homocysteine inducible ER protein with ubiquitin like domain 1,0.659,0.595,0.606
TAGLN3,ENSG00000144834,transgelin 3,0.643,0.619,0.597
TMEM223,ENSG00000168569,transmembrane protein 223,0.615,0.656,0.588
TLR9,ENSG00000239732,toll like receptor 9,0.6,0.59,0.668
TGM1,ENSG00000092295,transglutaminase 1,0.55,0.619,0.689
SPTBN5,ENSG00000137877,"spectrin beta, non-erythrocytic 5",0.604,0.544,0.709
PLEKHB2,ENSG00000115762,pleckstrin homology domain containing B2,0.686,0.627,0.544
ARHGAP6,ENSG00000047648,Rho GTPase activating protein 6,0.597,0.553,0.707
C12orf60,ENSG00000182993,chromosome 12 open reading frame 60,0.533,0.642,0.681
FAM83G,ENSG00000188522,family with sequence similarity 83 member G,0.622,0.567,0.667
KLK5,ENSG00000167754,kallikrein related peptidase 5,0.571,0.565,0.72
MRPL21,ENSG00000197345,mitochondrial ribosomal protein L21,0.634,0.532,0.688
CEL,ENSG00000170835,carboxyl ester lipase,0.617,0.509,0.728
RUSC2,ENSG00000198853,RUN and SH3 domain containing 2,0.625,0.623,0.606
TMEM222,ENSG00000186501,transmembrane protein 222,0.553,0.671,0.629
TMEM72,ENSG00000187783,transmembrane protein 72,0.571,0.5,0.782
WIPI1,ENSG00000070540,"WD repeat domain, phosphoinositide interacting 1",0.575,0.699,0.579
HS3ST3B1,ENSG00000125430,heparan sulfate-glucosamine 3-sulfotransferase 3B1,0.527,0.657,0.669
ANKRD34B,ENSG00000189127,ankyrin repeat domain 34B,0.672,0.578,0.603
MFSD10,ENSG00000109736,major facilitator superfamily domain containing 10,0.647,0.606,0.599
CCDC102A,ENSG00000135736,coiled-coil domain containing 102A,0.5,0.616,0.736
UGP2,ENSG00000169764,UDP-glucose pyrophosphorylase 2,0.693,0.516,0.643
NGF,ENSG00000134259,nerve growth factor,0.5,0.693,0.659
TSSC4,ENSG00000184281,tumor suppressing subtransferable candidate 4,0.581,0.664,0.607
SBSN,ENSG00000189001,suprabasin,0.609,0.54,0.703
MRPS28,ENSG00000147586,mitochondrial ribosomal protein S28,0.565,0.597,0.69
ACP6,ENSG00000162836,"acid phosphatase 6, lysophosphatidic",0.494,0.652,0.705
RHAG,ENSG00000112077,Rh associated glycoprotein,0.5,0.634,0.717
LEAP2,ENSG00000164406,liver enriched antimicrobial peptide 2,0.557,0.624,0.67
BANF1,ENSG00000175334,BAF nuclear assembly factor 1,0.534,0.65,0.666
DNER,ENSG00000187957,delta/notch like EGF repeat containing,0.727,0.592,0.531
MVP,ENSG00000013364,major vault protein,0.565,0.693,0.592
ESPNL,ENSG00000144488,espin like,0.61,0.534,0.706
MFN2,ENSG00000116688,mitofusin 2,0.666,0.577,0.607
LAT,ENSG00000213658,linker for activation of T cells,0.579,0.527,0.744
NMRAL1,ENSG00000153406,NmrA like redox sensor 1,0.632,0.547,0.669
CA1,ENSG00000133742,carbonic anhydrase 1,0.583,0.5,0.765
RAMP3,ENSG00000122679,receptor activity modifying protein 3,0.5,0.754,0.594
TTC21A,ENSG00000168026,tetratricopeptide repeat domain 21A,0.567,0.625,0.656
PRRX2,ENSG00000167157,paired related homeobox 2,0.59,0.535,0.722
EBF4,ENSG00000088881,EBF family member 4,0.643,0.675,0.529
HDDC3,ENSG00000184508,HD domain containing 3,0.617,0.638,0.592
PRSS53,ENSG00000151006,serine protease 53,0.563,0.629,0.654
C1orf189,ENSG00000163263,chromosome 1 open reading frame 189,0.552,0.516,0.778
GALNT12,ENSG00000119514,polypeptide N-acetylgalactosaminyltransferase 12,0.525,0.703,0.617
ZNF837,ENSG00000152475,zinc finger protein 837,0.6,0.625,0.619
LINGO3,ENSG00000220008,leucine rich repeat and Ig domain containing 3,0.673,0.661,0.51
TONSL,ENSG00000160949,"tonsoku like, DNA repair protein",0.57,0.619,0.655
NKX6-2,ENSG00000148826,NK6 homeobox 2,0.661,0.565,0.618
MARVELD3,ENSG00000140832,MARVEL domain containing 3,0.583,0.55,0.711
ARSA,ENSG00000100299,arylsulfatase A,0.495,0.79,0.558
TNFAIP3,ENSG00000118503,TNF alpha induced protein 3,0.511,0.657,0.675
MOCOS,ENSG00000075643,molybdenum cofactor sulfurase,0.618,0.52,0.705
CD302,ENSG00000241399,CD302 molecule,0.577,0.672,0.594
RERGL,ENSG00000111404,RERG like,0.699,0.505,0.638
SH2D4A,ENSG00000104611,SH2 domain containing 4A,0.535,0.633,0.674
LONP1,ENSG00000196365,"lon peptidase 1, mitochondrial",0.613,0.666,0.561
BEND7,ENSG00000165626,BEN domain containing 7,0.6,0.643,0.597
KIF25,ENSG00000125337,kinesin family member 25,0.55,0.54,0.749
PROCA1,ENSG00000167525,protein interacting with cyclin A1,0.638,0.541,0.66
TDRD10,ENSG00000163239,tudor domain containing 10,0.524,0.618,0.695
GRIN2D,ENSG00000105464,glutamate ionotropic receptor NMDA type subunit 2D,0.657,0.574,0.606
SDHAF1,ENSG00000205138,succinate dehydrogenase complex assembly factor 1,0.569,0.575,0.692
UROD,ENSG00000126088,uroporphyrinogen decarboxylase,0.64,0.579,0.617
PLN,ENSG00000198523,phospholamban,0.624,0.516,0.696
VMAC,ENSG00000187650,vimentin type intermediate filament associated coiled-coil protein,0.566,0.617,0.652
GYG1,ENSG00000163754,glycogenin 1,0.642,0.549,0.644
ACADL,ENSG00000115361,acyl-CoA dehydrogenase long chain,0.583,0.545,0.707
DISC1,ENSG00000162946,DISC1 scaffold protein,0.493,0.767,0.575
GLYCTK,ENSG00000168237,glycerate kinase,0.572,0.55,0.713
ANGPTL1,ENSG00000116194,angiopoietin like 1,0.586,0.542,0.707
ZNF600,ENSG00000189190,zinc finger protein 600,0.553,0.643,0.638
RAB3IL1,ENSG00000167994,RAB3A interacting protein like 1,0.677,0.585,0.572
LHX4,ENSG00000121454,LIM homeobox 4,0.525,0.658,0.651
FOXM1,ENSG00000111206,forkhead box M1,0.566,0.637,0.63
CCDC69,ENSG00000198624,coiled-coil domain containing 69,0.648,0.548,0.636
TMEM184B,ENSG00000198792,transmembrane protein 184B,0.694,0.528,0.61
